912125,,0,
4317,,1000000,216
666172,,2000000,105
1017868,,3000000,58
479617,,4000000,32
543134,,5000000,20
1775466,,6000000,9
141183,,7000000,4
1035431,,8000000,0
1571300,,9000000,1
488654,,10000000,0
1833945,,11000000,0
4645509,,12000000,0
5796970,,13000000,0
2269234,,14000000,0
3019439,,15000000,0
3426220,,16000000,0
393214,,17000000,0
288672,,18000000,0
1650303,,19000000,0
144901,,20000000,0
1840494,,21000000,0
243183,,22000000,0
580377,,23000000,0
187577,,24000000,0
4520559,,25000000,0
971824,,26000000,0
2557970,,27000000,0
1091802,,,
127514,,,
5813576,,,
8522006,,,
285817,,,
3778337,,,
3380583,,,
1347555,,,
951604,,,
3106220,,,
11291,,,
3987979,,,
997093,,,
1213135,,,
201099,,,
5431878,,,
2132747,,,
132175,,,
2587600,,,
1651268,,,
775983,,,
185291,,,
1336993,,,
1255092,,,
3390047,,,
459280,,,
758056,,,
3753209,,,
1080528,,,
4330655,,,
1432881,,,
5027282,,,
611505,,,
96077,,,
2414925,,,
2554435,,,
3469287,,,
904802,,,
4696202,,,
1733181,,,
1116834,,,
3834110,,,
295210,,,
1336509,,,
3060799,,,
1433038,,,
159429,,,
1599498,,,
5927909,,,
246290,,,
1641919,,,
450595,,,
833103,,,
621538,,,
3144151,,,
976759,,,
2609344,,,
1016191,,,
3594835,,,
549984,,,
627255,,,
1220372,,,
491102,,,
2564439,,,
2033778,,,
448781,,,
3494066,,,
1303128,,,
3535308,,,
54159,,,
3347395,,,
584043,,,
15902,,,
2454077,,,
1428957,,,
1466268,,,
3153162,,,
404425,,,
2169120,,,
322272,,,
232455,,,
768246,,,
402608,,,
1695291,,,
1033111,,,
2221708,,,
580644,,,
2040524,,,
780454,,,
2907640,,,
2994858,,,
462161,,,
1605931,,,
934167,,,
1011851,,,
2038140,,,
971885,,,
1306667,,,
304061,,,
1944978,,,
107886,,,
682075,,,
614688,,,
1884564,,,
109447,,,
499648,,,
3976967,,,
573534,,,
2088227,,,
4340299,,,
623292,,,
644806,,,
3006282,,,
117372,,,
4527425,,,
591337,,,
546308,,,
2120547,,,
930208,,,
1671979,,,
1234976,,,
2021520,,,
1566882,,,
282777,,,
4105204,,,
311542,,,
367353,,,
10437,,,
528403,,,
146016,,,
206809,,,
1830237,,,
2880729,,,
6026293,,,
1670365,,,
1875943,,,
548534,,,
888606,,,
415513,,,
2148288,,,
2271609,,,
2615935,,,
518842,,,
2034658,,,
214809,,,
424660,,,
2783334,,,
130712,,,
1026699,,,
1059780,,,
1114404,,,
295013,,,
2846193,,,
636963,,,
413970,,,
421390,,,
1966940,,,
475168,,,
2956192,,,
221292,,,
4817611,,,
588475,,,
1460649,,,
559586,,,
628340,,,
1781105,,,
3331350,,,
249862,,,
755341,,,
5908850,,,
632378,,,
807237,,,
1918831,,,
229789,,,
3442668,,,
374921,,,
94530,,,
114830,,,
1045997,,,
1000058,,,
338549,,,
26990,,,
275142,,,
2158360,,,
3171161,,,
3089671,,,
1347419,,,
2401719,,,
479952,,,
2743734,,,
1541501,,,
282881,,,
473396,,,
158224,,,
341539,,,
402581,,,
1836073,,,
282914,,,
1185983,,,
818375,,,
1626931,,,
17805,,,
2372228,,,
1364206,,,
4356052,,,
2385821,,,
3413119,,,
1573049,,,
1951973,,,
1066820,,,
245005,,,
175125,,,
139783,,,
892832,,,
6177636,,,
1509750,,,
